Departamento,Municipio,Año de Gestion,Total Establecimientos De Salud
COCAHBAMBA,BOLIVAR,2009,5
ORURO,POOPO,2009,5
SANTA CRUZ,EL TORNO,2009,12
CHUQUISACA,TARABUCO,2009,11
LA PAZ,CHUA COCANI,2009,0
ORURO,YUNGUYO DE LITORAL,2009,1
ORURO,CARANGAS,2009,1
LA PAZ,CORIPATA,2009,6
SANTA CRUZ,EL PUENTE(STC),2009,5
POTOSI,LLICA,2009,9
POTOSI,MOJINETE,2009,3
POTOSI,UYUNI,2009,13
LA PAZ,ICHOCA,2009,4
ORURO,HUANUNI,2009,10
BENI,PUERTO SILES,2009,3
POTOSI,VILLAZON,2009,18
LA PAZ,MOCOMOCO,2009,10
SANTA CRUZ,SAN JUAN DE YAPACANI,2009,6
SANTA CRUZ,CUEVO,2009,5
CHUQUISACA,CULPINA,2009,12
COCAHBAMBA,TOCO,2009,4
SANTA CRUZ,SAN JOSE DE CHIQUITOS,2009,9
ORURO,CORQUE,2009,12
BENI,MAGDALENA,2009,9
COCAHBAMBA,TOLATA,2009,2
SANTA CRUZ,GUTIERREZ,2009,12
POTOSI,OCURI,2009,12
CHUQUISACA,TARVITA,2009,11
LA PAZ,MAPIRI,2009,4
COCAHBAMBA,TOTORA(CBBA),2009,7
LA PAZ,COPACABANA,2009,3
BENI,LORETO,2009,6
COCAHBAMBA,SACABAMBA,2009,5
LA PAZ,INQUISIVI,2009,9
COCAHBAMBA,PASORAPA,2009,5
SANTA CRUZ,GENERAL SAAVEDRA,2009,10
SANTA CRUZ,SAN IGNACIO DE VELASCO,2009,21
POTOSI,TUPIZA,2009,40
CHUQUISACA,CAMATAQUI (C. VILLA ABECIA),2009,4
LA PAZ,MECAPACA,2009,7
SANTA CRUZ,FERNANDEZ ALONSO,2009,4
POTOSI,UNCIA,2009,10
SANTA CRUZ,SAN JAVIER(STC),2009,1
LA PAZ,SANTIAGO DE CALLAPA,2009,5
LA PAZ,TACACOMA,2009,3
COCAHBAMBA,ALALAY,2009,5
ORURO,SABAYA,2009,6
CHUQUISACA,SUCRE,2009,126
LA PAZ,CHARANA,2009,2
SANTA CRUZ,CUATRO CANADAS,2009,8
PANDO,BELLA FLOR,2009,4
LA PAZ,HUMANATA,2009,0
SANTA CRUZ,COMARAPA,2009,7
COCAHBAMBA,CAPINOTA,2009,7
LA PAZ,CHACARILLA,2009,2
LA PAZ,PALCA,2009,9
SANTA CRUZ,SAN MIGUEL DE VELASCO,2009,3
ORURO,SALINAS DE GARCI MENDOZA,2009,7
LA PAZ,CORO CORO,2009,6
COCAHBAMBA,PUNATA,2009,10
PANDO,BOLPEBRA,2009,4
COCAHBAMBA,TIQUIPAYA,2009,11
POTOSI,COLQUECHACA,2009,20
BENI,RURRENABAQUE,2009,7
SANTA CRUZ,COLPA BELGICA,2009,3
SANTA CRUZ,SAN PEDRO,2009,9
COCAHBAMBA,SAN BENITO,2009,5
LA PAZ,SAN PEDRO DE CURAHUARA,2009,5
LA PAZ,HUATAJATA,2009,0
SANTA CRUZ,CHARAGUA,2009,17
CHUQUISACA,SAN LUCAS,2009,26
CHUQUISACA,EL VILLAR,2009,5
LA PAZ,CHULUMANI (V. DE LA LIBERTAD),2009,6
COCAHBAMBA,ANZALDO,2009,10
CHUQUISACA,SOPACHUY,2009,5
LA PAZ,VIACHA,2009,12
LA PAZ,NAZACARA DE PACAJES,2009,1
POTOSI,LLALLAGUA,2009,11
BENI,REYES,2009,7
SANTA CRUZ,SAN JULIAN,2009,25
LA PAZ,ALTO BENI,2009,0
COCAHBAMBA,ENTRE RIOS CBBA,2009,8
LA PAZ,SAN PEDRO DE TIQUINA,2009,4
POTOSI,VITICHI,2009,13
SANTA CRUZ,COTOCA,2009,8
POTOSI,COTAGAITA,2009,37
LA PAZ,BATALLAS,2009,5
ORURO,CARACOLLO,2009,7
ORURO,CRUZ DE MACHACAMARCA,2009,1
SANTA CRUZ,SAN MATIAS,2009,7
POTOSI,YOCALLA,2009,6
SANTA CRUZ,CONCEPCION,2009,5
COCAHBAMBA,TIRAQUE (CBBA),2009,17
ORURO,TURCO,2009,6
CHUQUISACA,YAMPARAEZ,2009,9
LA PAZ,TARACO,2009,4
BENI,RIBERALTA,2009,27
POTOSI,TORO TORO,2009,8
POTOSI,POCOATA,2009,16
COCAHBAMBA,MIZQUE,2009,15
LA PAZ,SICA SICA (VILLA AROMA),2009,7
SANTA CRUZ,PUERTO SUAREZ,2009,9
LA PAZ,YANACACHI,2009,4
CHUQUISACA,ALCALA,2009,3
CHUQUISACA,ZUDANEZ,2009,6
COCAHBAMBA,OMEREQUE,2009,4
POTOSI,SAN PEDRO DE BUENA VISTA,2009,14
LA PAZ,LAJA,2009,6
LA PAZ,COLQUENCHA,2009,4
COCAHBAMBA,MOROCHATA,2009,21
SANTA CRUZ,PAILON,2009,5
POTOSI,RAVELO,2009,14
SANTA CRUZ,QUIRUSILLAS,2009,1
LA PAZ,JESUS DE MACHACA,2009,7
CHUQUISACA,VILLA SERRANO,2009,8
SANTA CRUZ,OKINAWA,2009,4
LA PAZ,LICOMA PAMPA,2009,2
COCAHBAMBA,VILLA RIVERO,2009,3
LA PAZ,AYO AYO,2009,3
POTOSI,PUNA,2009,39
BENI,BAURES,2009,5
SANTA CRUZ,PAMPA GRANDE,2009,4
ORURO,COIPASA,2009,1
COCAHBAMBA,SACABA,2009,29
ORURO,ORURO,2009,48
ORURO,MACHACAMARCA,2009,3
LA PAZ,COLQUIRI,2009,10
SANTA CRUZ,POSTRER VALLE,2009,3
LA PAZ,LA ASUNTA,2009,8
POTOSI,SAN AGUSTIN,2009,3
SANTA CRUZ,PUCARA,2009,3
LA PAZ,LA PAZ,2009,149
SANTA CRUZ,PORTACHUELO,2009,5
LA PAZ,ACHOCALLA,2009,3
POTOSI,SAN ANTONIO DE ESMORUCO,2009,4
LA PAZ,SAPAHAQUI,2009,4
ORURO,CHOQUE COTA,2009,1
SANTA CRUZ,PUERTO QUIJARRO,2009,8
POTOSI,SACACA,2009,14
CHUQUISACA,YOTALA,2009,10
POTOSI,SAN PABLO DE LIPEZ,2009,11
CHUQUISACA,VILLA VACA GUZMAN (MUYUPAMPA),2009,13
COCAHBAMBA,VILLA TUNARI,2009,26
SANTA CRUZ,PORONGO,2009,8
LA PAZ,COMANCHE,2009,3
LA PAZ,YACO,2009,8
LA PAZ,ACHACACHI,2009,20
LA PAZ,CATACORA,2009,1
POTOSI,SAN PEDRO DE QUEMES,2009,1
LA PAZ,SANTIAGO DE MACHACA,2009,2
LA PAZ,CHUMA,2009,7
BENI,GUAYARAMERIN,2009,18
POTOSI,PORCO,2009,3
SANTA CRUZ,MAIRANA,2009,5
ORURO,CHALLAPATA,2009,12
COCAHBAMBA,VACAS,2009,7
LA PAZ,MALLA,2009,4
LA PAZ,SANTIAGO DE HUATA,2009,0
SANTA CRUZ,LAGUNILLAS,2009,6
SANTA CRUZ,SAN ANTONIO DE LOMERIO,2009,5
CHUQUISACA,TOMINA,2009,9
ORURO,PAZNA,2009,5
ORURO,HUAYLLAMARCA,2009,6
COCAHBAMBA,COCAPATA,2009,0
LA PAZ,IRUPANA (VILLA DE LANZA),2009,10
CHUQUISACA,CAMARGO,2009,8
BENI,HUARACAJE,2009,2
POTOSI,TOMAVE,2009,13
LA PAZ,WALDO BALLIVIAN,2009,1
SANTA CRUZ,LA GUARDIA,2009,9
SANTA CRUZ,SAN CARLOS,2009,6
COCAHBAMBA,AIQUILE,2009,9
LA PAZ,AYATA,2009,5
LA PAZ,SORATA,2009,9
SANTA CRUZ,SAMAIPATA,2009,5
LA PAZ,COLLANA,2009,1
SANTA CRUZ,MORO MORO,2009,3
SANTA CRUZ,ROBORE,2009,7
ORURO,CHIPAYA,2009,2
ORURO,LA RIVERA,2009,1
LA PAZ,IXIAMAS,2009,7
POTOSI,TACOBAMBA,2009,8
ORURO,PAMPA AULLAGAS,2009,3
SANTA CRUZ,SAIPINA,2009,2
CHUQUISACA,VILLA CHARCAS,2009,0
BENI,EXALTACION,2009,4
SANTA CRUZ,MONTERO,2009,14
COCAHBAMBA,VILA VILA,2009,4
CHUQUISACA,AZURDUY,2009,11
POTOSI,POTOSI,2009,33
LA PAZ,LURIBAY,2009,9
SANTA CRUZ,MINEROS,2009,5
COCAHBAMBA,CLIZA,2009,4
POTOSI,TAHUA,2009,3
LA PAZ,COMBAYA,2009,4
COCAHBAMBA,QUILLACOLLO,2009,12
POTOSI,TINGUIPAYA,2009,16
COCAHBAMBA,POCONA,2009,14
COCAHBAMBA,VINTO,2009,7
PANDO,COBIJA,2009,19
LA PAZ,TIAWANACU,2009,5
TARIJA,URIONDO (A. CONCEPCION),2009,8
LA PAZ,GUANAY,2009,5
LA PAZ,PUCARANI,2009,8
COCAHBAMBA,COLOMI,2009,9
COCAHBAMBA,POJO (CBBA),2009,7
LA PAZ,DESAGUADERO,2009,2
CHUQUISACA,MONTEAGUDO,2009,19
BENI,SAN RAMON BENI,2009,2
COCAHBAMBA,SANTIVANES,2009,6
ORURO,ANTEQUERA,2009,3
POTOSI,CARIPUYO,2009,7
PANDO,PUERTO GONZALO MORENO,2009,6
TARIJA,TARIJA,2009,46
LA PAZ,CALAMARCA,2009,4
SANTA CRUZ,WARNES,2009,14
ORURO,EL CHORO,2009,6
LA PAZ,PUERTO ACOSTA,2009,9
ORURO,ESMERALDA,2009,1
COCAHBAMBA,TACACHI,2009,1
TARIJA,SAN LORENZO(TJA),2009,16
ORURO,SORACACHI,2009,11
COCAHBAMBA,ARBIETO,2009,5
BENI,SAN JAVIER(BNI),2009,4
ORURO,SANTUARIO DE QUILLACAS,2009,3
COCAHBAMBA,TACOPAYA,2009,7
SANTA CRUZ,TRIGAL,2009,4
LA PAZ,PELECHUCO,2009,6
TARIJA,YUNCHARA,2009,7
POTOSI,CHAYANTA,2009,13
COCAHBAMBA,CHIMORE,2009,8
ORURO,TOTORA(ORR),2009,8
TARIJA,YACUIBA,2009,22
SANTA CRUZ,URUBICHA,2009,5
PANDO,NUEVO MANOA (NUEVA ESPERANZA),2009,2
LA PAZ,SAN ANDRES DE MACHACA,2009,5
CHUQUISACA,PADILLA,2009,8
LA PAZ,CURVA,2009,3
CHUQUISACA,ICLA,2009,9
BENI,SAN JOAQUIN,2009,3
POTOSI,CHAQUI,2009,8
PANDO,PORVENIR,2009,4
SANTA CRUZ,VALLEGRANDE,2009,9
PANDO,PUERTO RICO,2009,3
LA PAZ,QUIME,2009,5
LA PAZ,TITO YUPANQUI (PARQUIPUJIO),2009,2
LA PAZ,TIPUANI,2009,4
PANDO,SENA,2009,3
CHUQUISACA,MACHARETI,2009,12
LA PAZ,PUERTO PEREZ,2009,5
CHUQUISACA,LAS CARRERAS,2009,6
LA PAZ,CAJUATA,2009,5
LA PAZ,EL ALTO,2009,80
BENI,TRINIDAD,2009,32
LA PAZ,APOLO,2009,7
TARIJA,CARAPARI,2009,12
LA PAZ,ESCOMA,2009,0
POTOSI,BELEN DE URMIRI,2009,3
ORURO,TOLEDO,2009,8
LA PAZ,QUIABAYA,2009,1
PANDO,VILLA NUEVA (LOMA ALTA),2009,5
TARIJA,BERMEJO,2009,13
POTOSI,ATOCHA,2009,12
COCAHBAMBA,SHINAOTA,2009,0
COCAHBAMBA,COLCAPIRHUA,2009,6
POTOSI,ARAMPAMPA,2009,5
TARIJA,EL PUENTE(TJA),2009,10
LA PAZ,CALACOTO,2009,7
COCAHBAMBA,ARQUE,2009,7
COCAHBAMBA,SIPE SIPE,2009,8
BENI,SANTA ANA,2009,4
SANTA CRUZ,YAPACANI,2009,11
LA PAZ,GRAL. J.J. PEREZ  (CHARAZANI),2009,8
ORURO,ANDAMARCA,2009,7
CHUQUISACA,INCAHUASI,2009,13
TARIJA,PADCAYA,2009,26
POTOSI,"CAIZA ""D""",2009,11
CHUQUISACA,MOJOCOYA,2009,8
LA PAZ,CAQUIAVIRI,2009,6
PANDO,SAN LORENZO(PND),2009,5
PANDO,SAN PEDRO(PND),2009,3
ORURO,TODOS SANTOS,2009,1
POTOSI,ACACIO,2009,6
POTOSI,BETANZOS,2009,29
ORURO,ESCARA,2009,1
BENI,SANTA ROSA,2009,5
TARIJA,ENTRE RIOS  TRJ,2009,29
COCAHBAMBA,SICAYA,2009,3
LA PAZ,PUERTO CARABUCO,2009,11
COCAHBAMBA,PUERTO VILLARROEL,2009,20
ORURO,CURAHUARA DE CARANGAS,2009,4
TARIJA,VILLA MONTES,2009,24
BENI,SAN BORJA,2009,11
COCAHBAMBA,CUCHUMUELA (V. G. VILLARROEL),2009,2
SANTA CRUZ,CARMEN RIVERO TORREZ,2009,4
ORURO,EUCALIPTUS,2009,3
PANDO,FILADELFIA,2009,5
SANTA CRUZ,BOYUIBE,2009,4
LA PAZ,SAN BUENA VENTURA,2009,5
SANTA CRUZ,BUENA VISTA,2009,10
SANTA CRUZ,SANTA ROSA DEL SARA,2009,10
CHUQUISACA,HUACARETA,2009,15
LA PAZ,CARANAVI,2009,23
POTOSI,"COLCHA ""K""",2009,17
ORURO,SANTIAGO DE HUARI,2009,7
PANDO,INGAVI (HUMAITA),2009,2
LA PAZ,PAPEL PAMPA,2009,6
COCAHBAMBA,ARANI,2009,5
BENI,SAN IGNACIO,2009,29
POTOSI,CKOCHAS,2009,0
CHUQUISACA,PRESTO,2009,6
COCAHBAMBA,TARATA,2009,4
SANTA CRUZ,CAMIRI,2009,14
LA PAZ,AUCAPATA,2009,6
COCAHBAMBA,COCHABAMBA,2009,135
COCAHBAMBA,TAPACARI,2009,19
SANTA CRUZ,SANTA CRUZ DE LA SIERRA,2009,136
LA PAZ,HUARINA,2009,0
SANTA CRUZ,SAN RAMON SCZ,2009,1
LA PAZ,UMALA,2009,5
LA PAZ,TEOPONTE,2009,6
CHUQUISACA,HUACAYA (VILLA DE HUACAYA),2009,5
ORURO,BELEN DE ANDAMARCA,2009,3
COCAHBAMBA,AYOPAYA (V. DE INDEPENDENCIA),2009,22
ORURO,HUACHACALLA,2009,1
SANTA CRUZ,CABEZAS,2009,7
CHUQUISACA,POROMA,2009,13
LA PAZ,COROICO,2009,6
LA PAZ,ANCORAIMES,2009,7
LA PAZ,CAIROMA,2009,10
LA PAZ,PATACAMAYA,2009,4
SANTA CRUZ,ASCENCION DE GUARAYOS,2009,7
PANDO,EUREKA (SANTOS MERCADO),2009,1
LA PAZ,GUAQUI,2009,4
POTOSI,CHUQUIHUTA AYLLU JUCUMANI,2009,0
SANTA CRUZ,SAN RAFAEL,2009,2
BENI,SAN ANDRES,2009,10
PANDO,NACEBE (SANTA ROSA DEL ABUNA),2009,2
LA PAZ,PALOS BLANCOS,2009,15
LA PAZ,JESUS DE MACHACA,2010,7
LA PAZ,GRAL. J.J. PEREZ  (CHARAZANI),2010,8
LA PAZ,TITO YUPANQUI (PARQUIPUJIO),2010,2
SANTA CRUZ,QUIRUSILLAS,2010,1
LA PAZ,TARACO,2010,4
CHUQUISACA,PRESTO,2010,6
SANTA CRUZ,ROBORE,2010,7
POTOSI,ACACIO,2010,6
POTOSI,COTAGAITA,2010,37
CHUQUISACA,VILLA SERRANO,2010,8
ORURO,COIPASA,2010,1
CHUQUISACA,SOPACHUY,2010,5
CHUQUISACA,EL VILLAR,2010,5
COCAHBAMBA,PUERTO VILLARROEL,2010,22
CHUQUISACA,MOJOCOYA,2010,8
POTOSI,PUNA,2010,21
POTOSI,RAVELO,2010,14
POTOSI,"CAIZA ""D""",2010,11
LA PAZ,AYATA,2010,5
LA PAZ,HUMANATA,2010,2
LA PAZ,GUAQUI,2010,4
POTOSI,BETANZOS,2010,29
SANTA CRUZ,SAN PEDRO,2010,9
SANTA CRUZ,PUERTO QUIJARRO,2010,8
LA PAZ,APOLO,2010,7
COCAHBAMBA,POCONA,2010,14
POTOSI,SAN AGUSTIN,2010,3
SANTA CRUZ,SAN RAFAEL,2010,2
LA PAZ,LA ASUNTA,2010,8
POTOSI,COLQUECHACA,2010,22
POTOSI,ATOCHA,2010,12
LA PAZ,HUATAJATA,2010,0
ORURO,CHOQUE COTA,2010,1
CHUQUISACA,SAN LUCAS,2010,28
LA PAZ,ESCOMA,2010,2
LA PAZ,ACHOCALLA,2010,3
ORURO,MACHACAMARCA,2010,3
COCAHBAMBA,PUNATA,2010,10
SANTA CRUZ,PUCARA,2010,3
LA PAZ,ANCORAIMES,2010,7
POTOSI,SACACA,2010,14
CHUQUISACA,HUACARETA,2010,15
ORURO,ESCARA,2010,1
POTOSI,ARAMPAMPA,2010,5
LA PAZ,YACO,2010,9
SANTA CRUZ,SAN MIGUEL DE VELASCO,2010,3
SANTA CRUZ,SAN RAMON SCZ,2010,1
LA PAZ,CORO CORO,2010,7
CHUQUISACA,ALCALA,2010,3
ORURO,HUACHACALLA,2010,1
COCAHBAMBA,OMEREQUE,2010,5
LA PAZ,TIPUANI,2010,4
POTOSI,"COLCHA ""K""",2010,17
CHUQUISACA,LAS CARRERAS,2010,6
LA PAZ,SICA SICA (VILLA AROMA),2010,7
LA PAZ,COMANCHE,2010,3
CHUQUISACA,MACHARETI,2010,12
CHUQUISACA,VILLA VACA GUZMAN (MUYUPAMPA),2010,13
LA PAZ,EL ALTO,2010,85
SANTA CRUZ,PUERTO SUAREZ,2010,9
LA PAZ,TEOPONTE,2010,6
SANTA CRUZ,YAPACANI,2010,11
CHUQUISACA,CULPINA,2010,12
SANTA CRUZ,SAN JUAN DE YAPACANI,2010,6
CHUQUISACA,PADILLA,2010,7
COCAHBAMBA,PASORAPA,2010,6
CHUQUISACA,TARVITA,2010,12
CHUQUISACA,ICLA,2010,9
LA PAZ,ICHOCA,2010,4
CHUQUISACA,POROMA,2010,18
SANTA CRUZ,SAN IGNACIO DE VELASCO,2010,21
POTOSI,POCOATA,2010,16
POTOSI,CHAQUI,2010,8
SANTA CRUZ,SANTA ROSA DEL SARA,2010,11
COCAHBAMBA,POJO (CBBA),2010,7
LA PAZ,COROICO,2010,6
LA PAZ,DESAGUADERO,2010,2
SANTA CRUZ,SAN CARLOS,2010,6
POTOSI,OCURI,2010,12
LA PAZ,WALDO BALLIVIAN,2010,1
ORURO,HUAYLLAMARCA,2010,8
CHUQUISACA,CAMATAQUI (C. VILLA ABECIA),2010,4
CHUQUISACA,TARABUCO,2010,11
LA PAZ,CURVA,2010,3
SANTA CRUZ,TRIGAL,2010,4
POTOSI,MOJINETE,2010,3
ORURO,CURAHUARA DE CARANGAS,2010,4
POTOSI,CHUQUIHUTA AYLLU JUCUMANI,2010,3
SANTA CRUZ,SAN JOSE DE CHIQUITOS,2010,9
SANTA CRUZ,URUBICHA,2010,5
LA PAZ,INQUISIVI,2010,9
LA PAZ,TACACOMA,2010,3
LA PAZ,ALTO BENI,2010,7
POTOSI,CHAYANTA,2010,13
SANTA CRUZ,SAN JAVIER(STC),2010,1
COCAHBAMBA,CHIMORE,2010,8
ORURO,CORQUE,2010,12
LA PAZ,AUCAPATA,2010,6
POTOSI,LLICA,2010,9
LA PAZ,IXIAMAS,2010,7
SANTA CRUZ,VALLEGRANDE,2010,9
LA PAZ,TIAWANACU,2010,5
LA PAZ,VIACHA,2010,12
LA PAZ,GUANAY,2010,5
ORURO,EL CHORO,2010,6
SANTA CRUZ,SAMAIPATA,2010,5
LA PAZ,SORATA,2010,9
POTOSI,POTOSI,2010,36
SANTA CRUZ,SAN MATIAS,2010,7
POTOSI,CARIPUYO,2010,7
LA PAZ,COMBAYA,2010,4
ORURO,ESMERALDA,2010,1
CHUQUISACA,VILLA CHARCAS,2010,8
CHUQUISACA,INCAHUASI,2010,8
CHUQUISACA,AZURDUY,2010,11
POTOSI,CKOCHAS,2010,18
SANTA CRUZ,SAIPINA,2010,2
ORURO,LA RIVERA,2010,1
LA PAZ,CORIPATA,2010,6
ORURO,HUANUNI,2010,10
COCAHBAMBA,QUILLACOLLO,2010,12
LA PAZ,UMALA,2010,5
LA PAZ,COPACABANA,2010,3
CHUQUISACA,HUACAYA (VILLA DE HUACAYA),2010,5
LA PAZ,IRUPANA (VILLA DE LANZA),2010,10
COCAHBAMBA,COLCAPIRHUA,2010,6
CHUQUISACA,SUCRE,2010,134
CHUQUISACA,CAMARGO,2010,9
LA PAZ,HUARINA,2010,2
CHUQUISACA,MONTEAGUDO,2010,20
CHUQUISACA,TOMINA,2010,10
ORURO,CRUZ DE MACHACAMARCA,2010,1
SANTA CRUZ,SAN ANTONIO DE LOMERIO,2010,5
SANTA CRUZ,WARNES,2010,18
SANTA CRUZ,SAN JULIAN,2010,25
POTOSI,PORCO,2010,3
SANTA CRUZ,SANTA CRUZ DE LA SIERRA,2010,137
COCAHBAMBA,CLIZA,2010,5
POTOSI,LLALLAGUA,2010,11
COCAHBAMBA,CAPINOTA,2010,7
ORURO,EUCALIPTUS,2010,3
CHUQUISACA,YAMPARAEZ,2010,9
PANDO,BOLPEBRA,2010,4
BENI,RURRENABAQUE,2010,7
SANTA CRUZ,COLPA BELGICA,2010,3
COCAHBAMBA,TIQUIPAYA,2010,11
LA PAZ,PALOS BLANCOS,2010,15
LA PAZ,SAN PEDRO DE CURAHUARA,2010,6
SANTA CRUZ,CHARAGUA,2010,17
ORURO,CARACOLLO,2010,10
PANDO,COBIJA,2010,20
LA PAZ,CATACORA,2010,2
BENI,SAN ANDRES,2010,10
SANTA CRUZ,CARMEN RIVERO TORREZ,2010,4
PANDO,EUREKA (SANTOS MERCADO),2010,1
ORURO,SANTIAGO DE HUARI,2010,7
COCAHBAMBA,COCHABAMBA,2010,132
SANTA CRUZ,CAMIRI,2010,14
COCAHBAMBA,TARATA,2010,4
LA PAZ,CAIROMA,2010,10
LA PAZ,PAPEL PAMPA,2010,6
BENI,SAN BORJA,2010,11
COCAHBAMBA,CUCHUMUELA (V. G. VILLARROEL),2010,2
SANTA CRUZ,CABEZAS,2010,7
COCAHBAMBA,ARANI,2010,5
PANDO,FILADELFIA,2010,5
SANTA CRUZ,BUENA VISTA,2010,10
ORURO,BELEN DE ANDAMARCA,2010,4
LA PAZ,SAN BUENA VENTURA,2010,6
COCAHBAMBA,SAN BENITO,2010,5
ORURO,SALINAS DE GARCI MENDOZA,2010,7
LA PAZ,CHACARILLA,2010,2
SANTA CRUZ,COMARAPA,2010,7
SANTA CRUZ,EL TORNO,2010,12
ORURO,YUNGUYO DE LITORAL,2010,1
SANTA CRUZ,EL PUENTE(STC),2010,5
POTOSI,UYUNI,2010,13
LA PAZ,CHUA COCANI,2010,0
ORURO,CARANGAS,2010,1
BENI,PUERTO SILES,2010,3
POTOSI,VILLAZON,2010,19
LA PAZ,MOCOMOCO,2010,10
ORURO,SABAYA,2010,6
SANTA CRUZ,CUEVO,2010,5
COCAHBAMBA,TOCO,2010,4
SANTA CRUZ,CUATRO CANADAS,2010,8
ORURO,TURCO,2010,6
LA PAZ,NAZACARA DE PACAJES,2010,1
LA PAZ,BATALLAS,2010,5
BENI,REYES,2010,7
POTOSI,VITICHI,2010,13
LA PAZ,SAN PEDRO DE TIQUINA,2010,4
SANTA CRUZ,COTOCA,2010,8
COCAHBAMBA,ENTRE RIOS CBBA,2010,9
POTOSI,YOCALLA,2010,6
COCAHBAMBA,VINTO,2010,7
BENI,RIBERALTA,2010,28
SANTA CRUZ,CONCEPCION,2010,5
COCAHBAMBA,ANZALDO,2010,10
PANDO,BELLA FLOR,2010,4
LA PAZ,PALCA,2010,9
LA PAZ,CHARANA,2010,2
COCAHBAMBA,TOLATA,2010,2
COCAHBAMBA,TAPACARI,2010,19
PANDO,INGAVI (HUMAITA),2010,2
LA PAZ,CALAMARCA,2010,5
BENI,SANTA ANA,2010,4
TARIJA,SAN LORENZO(TJA),2010,16
COCAHBAMBA,SIPE SIPE,2010,8
LA PAZ,QUIME,2010,5
ORURO,ANDAMARCA,2010,7
TARIJA,PADCAYA,2010,26
PANDO,SAN LORENZO(PND),2010,5
ORURO,TODOS SANTOS,2010,1
PANDO,SAN PEDRO(PND),2010,3
LA PAZ,PUERTO CARABUCO,2010,11
COCAHBAMBA,ARQUE,2010,7
BENI,SANTA ROSA,2010,8
TARIJA,ENTRE RIOS  TRJ,2010,29
COCAHBAMBA,SICAYA,2010,3
TARIJA,EL PUENTE(TJA),2010,10
LA PAZ,CALACOTO,2010,7
PANDO,SENA,2010,3
LA PAZ,PUERTO PEREZ,2010,5
LA PAZ,CAJUATA,2010,5
BENI,TRINIDAD,2010,33
ORURO,TOLEDO,2010,8
TARIJA,CARAPARI,2010,12
PANDO,VILLA NUEVA (LOMA ALTA),2010,5
LA PAZ,QUIABAYA,2010,1
TARIJA,BERMEJO,2010,14
COCAHBAMBA,SHINAOTA,2010,4
PANDO,PUERTO RICO,2010,3
LA PAZ,PUERTO ACOSTA,2010,5
TARIJA,TARIJA,2010,50
ORURO,ANTEQUERA,2010,3
SANTA CRUZ,BOYUIBE,2010,4
LA PAZ,CARANAVI,2010,16
LA PAZ,PATACAMAYA,2010,4
SANTA CRUZ,ASCENCION DE GUARAYOS,2010,7
PANDO,NACEBE (SANTA ROSA DEL ABUNA),2010,2
COCAHBAMBA,AYOPAYA (V. DE INDEPENDENCIA),2010,22
ORURO,SANTUARIO DE QUILLACAS,2010,3
BENI,SAN JAVIER(BNI),2010,4
LA PAZ,PELECHUCO,2010,6
TARIJA,YUNCHARA,2010,7
COCAHBAMBA,TACOPAYA,2010,7
LA PAZ,CAQUIAVIRI,2010,6
PANDO,NUEVO MANOA (NUEVA ESPERANZA),2010,2
BENI,SAN IGNACIO,2010,31
TARIJA,YACUIBA,2010,25
BENI,SAN JOAQUIN,2010,3
PANDO,PORVENIR,2010,4
COCAHBAMBA,ARBIETO,2010,5
ORURO,SORACACHI,2010,11
TARIJA,VILLA MONTES,2010,24
COCAHBAMBA,SANTIVANES,2010,5
ORURO,TOTORA(ORR),2010,8
LA PAZ,PUCARANI,2010,8
TARIJA,URIONDO (A. CONCEPCION),2010,8
COCAHBAMBA,COLOMI,2010,9
COCAHBAMBA,TACACHI,2010,2
BENI,SAN RAMON BENI,2010,2
PANDO,PUERTO GONZALO MORENO,2010,6
LA PAZ,SAN ANDRES DE MACHACA,2010,5
ORURO,POOPO,2010,5
COCAHBAMBA,TIRAQUE (CBBA),2010,13
COCAHBAMBA,ALALAY,2010,6
BENI,GUAYARAMERIN,2010,18
LA PAZ,MALLA,2010,4
SANTA CRUZ,MAIRANA,2010,5
POTOSI,SAN PEDRO DE BUENA VISTA,2010,14
ORURO,PAZNA,2010,5
CHUQUISACA,ZUDANEZ,2010,6
LA PAZ,YANACACHI,2010,4
LA PAZ,SANTIAGO DE HUATA,2010,3
SANTA CRUZ,LAGUNILLAS,2010,6
COCAHBAMBA,AIQUILE,2010,9
COCAHBAMBA,VACAS,2010,7
LA PAZ,LAJA,2010,6
LA PAZ,SANTIAGO DE MACHACA,2010,4
ORURO,CHALLAPATA,2010,14
SANTA CRUZ,PAMPA GRANDE,2010,4
LA PAZ,CHUMA,2010,7
ORURO,ORURO,2010,47
COCAHBAMBA,SACABA,2010,29
POTOSI,TOMAVE,2010,13
BENI,HUARACAJE,2010,2
LA PAZ,ACHACACHI,2010,16
SANTA CRUZ,LA GUARDIA,2010,9
POTOSI,TINGUIPAYA,2010,16
LA PAZ,COLQUENCHA,2010,4
SANTA CRUZ,MORO MORO,2010,3
POTOSI,BELEN DE URMIRI,2010,3
LA PAZ,COLLANA,2010,3
POTOSI,TACOBAMBA,2010,8
ORURO,PAMPA AULLAGAS,2010,3
SANTA CRUZ,OKINAWA,2010,4
BENI,BAURES,2010,5
ORURO,CHIPAYA,2010,2
BENI,MAGDALENA,2010,9
SANTA CRUZ,PAILON,2010,5
BENI,EXALTACION,2010,4
COCAHBAMBA,VILA VILA,2010,5
COCAHBAMBA,VILLA RIVERO,2010,3
